"Carimbo de data/hora","Do you follow any travel Instagram?","Do you follow any travel-related hashtag?","Do you prefer to see photos with people or just places?","Is the description of the photo important to you?","Do you prefer culture, nature, or food posts?","Do you usually comment when you like the photo?","",""
"2020/11/16 3:36:24 PM GMT","Yes","No","Places","No","nature for example beaches, waterfalls etc","1","",""
"2020/11/16 3:36:40 PM GMT","Yes","No","People","No","cultural eg museums, statues etc","1","Opção 1","Opção 1"
"2020/11/16 3:39:10 PM GMT","Yes","No","People","No","nature for example beaches, waterfalls etc","2","",""
"2020/11/16 3:40:55 PM GMT","No","No","","","","","",""
"2020/11/16 3:42:27 PM GMT","No","No","","","","","",""
"2020/11/16 3:55:11 PM GMT","Yes","Yes","Places","Yes","nature for example beaches, waterfalls etc","1","","Opção 1"
"2020/11/16 3:55:27 PM GMT","No","No","","","","","",""
"2020/11/16 4:09:03 PM GMT","Yes","Yes","Places","No","nature for example beaches, waterfalls etc","1","",""
"2020/11/16 4:16:30 PM GMT","Yes","Yes","Places","Yes","cultural eg museums, statues etc","4","",""
"2020/11/16 4:32:19 PM GMT","Yes","No","Places","No","nature for example beaches, waterfalls etc","1","",""
"2020/11/16 5:28:16 PM GMT","No","No","","","","","",""
"2020/11/16 5:40:26 PM GMT","Yes","No","People","Yes","nature for example beaches, waterfalls etc","1","",""
"2020/11/16 5:42:24 PM GMT","Yes","No","Places","No","nature for example beaches, waterfalls etc","2","",""
"2020/11/16 6:00:55 PM GMT","Yes","No","People","No","nature for example beaches, waterfalls etc","1","",""
"2020/11/16 6:02:27 PM GMT","No","No","","","","","",""
"2020/11/16 6:56:48 PM GMT","No","No","","","","","",""
"2020/11/16 8:44:17 PM GMT","No","No","","","","","",""
"2020/11/17 9:31:57 AM GMT","No","No","","","","","",""
"2020/11/17 9:50:52 AM GMT","No","No","","","","","",""
"2020/11/17 9:51:25 AM GMT","No","No","","","","","",""
"2020/11/17 9:51:37 AM GMT","No","No","","","","","",""
"2020/11/17 9:52:45 AM GMT","No","No","","","","","",""
"2020/11/17 9:54:09 AM GMT","Yes","No","Places","Yes","nature for example beaches, waterfalls etc","2","",""
"2020/11/17 9:55:33 AM GMT","No","No","","","","","",""
"2020/11/17 9:56:01 AM GMT","Yes","No","Places","Yes","nature for example beaches, waterfalls etc","2","",""
"2020/11/17 9:56:07 AM GMT","Yes","No","Places","Yes","nature for example beaches, waterfalls etc","1","",""
"2020/11/17 9:56:56 AM GMT","Yes","Yes","Places","Yes","nature for example beaches, waterfalls etc","3","",""
"2020/11/17 9:57:32 AM GMT","Yes","Yes","Places","No","nature for example beaches, waterfalls etc","3","",""
"2020/11/17 9:58:41 AM GMT","No","No","","","","","",""
"2020/11/17 9:59:17 AM GMT","No","No","","","","","",""
"2020/11/17 10:03:44 AM GMT","No","No","","","","","",""
"2020/11/17 11:04:06 AM GMT","Yes","Yes","People","No","nature for example beaches, waterfalls etc","2","",""
"2020/11/17 11:24:36 AM GMT","Yes","Yes","Places","Yes","nature for example beaches, waterfalls etc","3","",""
"2020/11/17 11:34:22 AM GMT","Yes","No","Places","No","food for example typical dishes from a certain place","1","",""
"2020/11/17 11:47:53 AM GMT","Yes","No","Places","Yes","nature for example beaches, waterfalls etc","2","",""
"2020/11/17 11:49:22 AM GMT","Yes","Yes","Places","No","nature for example beaches, waterfalls etc","5","",""
"2020/11/17 11:51:11 AM GMT","Yes","No","People","Yes","food for example typical dishes from a certain place","3","",""
"2020/11/17 11:51:24 AM GMT","Yes","No","Places","Yes","nature for example beaches, waterfalls etc","2","",""
"2020/11/17 11:58:54 AM GMT","Yes","No","Places","No","food for example typical dishes from a certain place","1","",""
"2020/11/17 12:04:21 PM GMT","Yes","Yes","Places","No","nature for example beaches, waterfalls etc","5","",""
"2020/11/17 12:14:37 PM GMT","Yes","No","People","Yes","food for example typical dishes from a certain place","3","",""
"2020/11/17 3:06:21 PM GMT","Yes","No","Places","Yes","nature for example beaches, waterfalls etc","1","",""
"2020/11/17 3:48:44 PM GMT","Yes","No","Places","No","nature for example beaches, waterfalls etc","4","",""
"2020/11/17 6:05:25 PM GMT","No","No","","","","","",""